    -30.0000     15.3125       -1.045          0.6269     
    -30.0000     15.6250       -1.049          0.8947     
    -30.0000     15.9375       -1.046           1.226     
    -30.0000     16.2500       -1.051           1.774     
    -30.0000     16.5625       -1.047           2.312     
    -30.0000     16.8750       -1.036           3.032     
    -30.0000     17.1875       -1.056           4.053     
    -30.0000     17.5000       -1.026           4.604     
    -30.0000     17.8125       -1.149           7.259     
    -30.0000     18.1250      -0.9472           2.273     
    -30.0000     18.4375      -0.6477           9.041     
    -30.0000     18.7500       0.4023E-001     -4.725     
    -30.0000     19.0625        2.038           33.07     
    -30.0000     19.3750       0.6298           14.78     
    -30.0000     19.6875       -2.347           83.61     

    -29.7656    -20.0000       0.1218E-002    -0.8293E-002
    -29.7656    -19.6875       0.9019          -68.22     
    -29.7656    -19.3750      -0.4590          -16.68     
    -29.7656    -19.0625       -2.352          -32.98     
    -29.7656    -18.7500      -0.9064           8.153     
    -29.7656    -18.4375       0.6521          -8.917     
    -29.7656    -18.1250       0.8403          -2.791     
    -29.7656    -17.8125        1.139          -7.147     
    -29.7656    -17.5000        1.018          -4.702     
    -29.7656    -17.1875        1.053          -4.007     
    -29.7656    -16.8750        1.038          -3.062     
    -29.7656    -16.5625        1.047          -2.301     
    -29.7656    -16.2500        1.050          -1.781     
    -29.7656    -15.9375        1.047          -1.217     
    -29.7656    -15.6250        1.048         -0.9039     
    -29.7656    -15.3125        1.044         -0.6170     
    -29.7656    -15.0000        1.050         -0.4205     
    -29.7656    -14.6875        1.048         -0.3188     
    -29.7656    -14.3750        1.044         -0.2079     
    -29.7656    -14.0625        1.048         -0.1200     
    -29.7656    -13.7500        1.048         -0.1005     
    -29.7656    -13.4375        1.046         -0.4045E-001
    -29.7656    -13.1250        1.050         -0.4002E-001
    -29.7656    -12.8125        1.047         -0.7929E-001
    -29.7656    -12.5000        1.043          0.5381E-002
    -29.7656    -12.1875        1.046         -0.1246E-002
    -29.7656    -11.8750        1.049          0.3295E-001
    -29.7656    -11.5625        1.054         -0.4292E-001
    -29.7656    -11.2500        1.044         -0.4524E-001
    -29.7656    -10.9375        1.045          0.3195E-001
    -29.7656    -10.6250        1.047          0.1744E-002
    -29.7656    -10.3125        1.049          0.2160E-001
    -29.7656    -10.0000        1.049         -0.2353E-001
    -29.7656     -9.6875        1.045         -0.2219E-001
    -29.7656     -9.3750        1.046          0.1958E-001
    -29.7656     -9.0625        1.049          0.1319E-001
    -29.7656     -8.7500        1.047         -0.2528E-001
    -29.7656     -8.4375        1.045          0.1547E-001
    -29.7656     -8.1250        1.048         -0.1013E-002
    -29.7656     -7.8125        1.046         -0.1989E-001
    -29.7656     -7.5000        1.046          0.1937E-001
    -29.7656     -7.1875        1.050          0.2047E-001
    -29.7656     -6.8750        1.048          0.1158E-002
    -29.7656     -6.5625        1.046         -0.2858E-001
    -29.7656     -6.2500        1.044          0.3059E-001
    -29.7656     -5.9375        1.046          0.2815E-002
    -29.7656     -5.6250        1.046          0.2693E-001
    -29.7656     -5.3125        1.047          0.3048E-001
    -29.7656     -5.0000        1.048          0.6203E-001
    -29.7656     -4.6875        1.049          0.6786E-001
    -29.7656     -4.3750        1.044          0.7099E-001
    -29.7656     -4.0625        1.042          0.1436     
    -29.7656     -3.7500        1.044          0.2268     
    -29.7656     -3.4375        1.045          0.3449     
    -29.7656     -3.1250        1.043          0.4859     
    -29.7656     -2.8125        1.043          0.7112     
    -29.7656     -2.5000        1.040           1.008     
    -29.7656     -2.1875        1.035           1.379     
    -29.7656     -1.8750        1.027           1.812     
    -29.7656     -1.5625        1.025           2.439     
    -29.7656     -1.2500        1.023           2.879     
    -29.7656     -0.9375       0.9755           3.003     
    -29.7656     -0.6250       0.8135           2.861     
    -29.7656     -0.3125       0.5333           2.000     
    -29.7656      0.0000      -0.2323E-002     0.1998E-001
    -29.7656      0.3125      -0.5315          -2.041     
    -29.7656      0.6250      -0.8185          -2.860     
    -29.7656      0.9375      -0.9711          -2.975     
    -29.7656      1.2500       -1.029          -2.893     
    -29.7656      1.5625       -1.025          -2.422     
    -29.7656      1.8750       -1.034          -1.823     
    -29.7656      2.1875       -1.037          -1.380     
    -29.7656      2.5000       -1.040          -1.017     
    -29.7656      2.8125       -1.043         -0.7060     
    -29.7656      3.1250       -1.045         -0.4849     
    -29.7656      3.4375       -1.045         -0.3496     
    -29.7656      3.7500       -1.045         -0.2164     
    -29.7656      4.0625       -1.044         -0.1527     
