    -20.0000    9.8201379     
    -18.7500    8.1757448     
    -17.5000    2.6894142     
    -16.2500   0.29312231     
    -15.0000   0.24726232E-001
    -13.7500   0.20342698E-002
    -12.5000   0.16701422E-003
    -11.2500   0.13709572E-004
    -10.0000   0.11253516E-005
     -8.7500   0.92374496E-007
     -7.5000   0.75856122E-008
     -6.2500   0.17090985E-007
     -5.0000   0.18633317E-004
     -3.7500   0.44191315E-002
     -2.5000   0.21968467     
     -1.2500    2.2891668     
      0.0000    5.0000000     
      1.2500    2.2891668     
      2.5000   0.21968467     
      3.7500   0.44191315E-002
      5.0000   0.18633317E-004
      6.2500   0.17090985E-007
      7.5000   0.75856122E-008
      8.7500   0.92374496E-007
     10.0000   0.11253516E-005
     11.2500   0.13709572E-004
     12.5000   0.16701422E-003
     13.7500   0.20342698E-002
     15.0000   0.24726232E-001
     16.2500   0.29312231     
     17.5000    2.6894142     
     18.7500    8.1757448     
